URL,状态码,内容类型,Canonical,来源页面数量,是否在 Sitemap,迁移后必须原样保留,允许重定向,目标 URL,验收方法
https://www.xinvstar.xyz/diary/,200,text/html; charset=utf-8,,101,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/friends,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/friends/,200,text/html; charset=utf-8,,101,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/og/[...slug].png,N/A,,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/[...slug],N/A,,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-09-21-%E6%B7%B1%E5%85%A5%E7%90%86%E8%A7%A3-javascript-%E4%BA%8B%E4%BB%B6%E5%BE%AA%E7%8E%AF%E4%BB%8E%E5%AE%8F%E4%BB%BB%E5%8A%A1%E5%88%B0%E5%BE%AE%E4%BB%BB%E5%8A%A1/,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-09-21-%E6%B7%B1%E5%85%A5%E7%90%86%E8%A7%A3-javascript-%E4%BA%8B%E4%BB%B6%E5%BE%AA%E7%8E%AF%E4%BB%8E%E5%AE%8F%E4%BB%BB%E5%8A%A1%E5%88%B0%E5%BE%AE%E4%BB%BB%E5%8A%A1/,200,text/html; charset=utf-8,,16,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-09-28-rust-%E6%89%80%E6%9C%89%E6%9D%83%E7%B3%BB%E7%BB%9F%E8%AF%A6%E8%A7%A3%E4%BB%8E%E5%85%A5%E9%97%A8%E5%88%B0%E5%AE%9E%E8%B7%B5/,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-09-28-rust-%E6%89%80%E6%9C%89%E6%9D%83%E7%B3%BB%E7%BB%9F%E8%AF%A6%E8%A7%A3%E4%BB%8E%E5%85%A5%E9%97%A8%E5%88%B0%E5%AE%9E%E8%B7%B5/,200,text/html; charset=utf-8,,10,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-10-05-docker-%E5%AE%B9%E5%99%A8%E5%8C%96%E6%9C%80%E4%BD%B3%E5%AE%9E%E8%B7%B5%E4%BB%8E%E5%BC%80%E5%8F%91%E5%88%B0%E7%94%9F%E4%BA%A7/,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-10-05-docker-%E5%AE%B9%E5%99%A8%E5%8C%96%E6%9C%80%E4%BD%B3%E5%AE%9E%E8%B7%B5%E4%BB%8E%E5%BC%80%E5%8F%91%E5%88%B0%E7%94%9F%E4%BA%A7/,200,text/html; charset=utf-8,,13,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-10-12-typescript-%E9%AB%98%E7%BA%A7%E7%B1%BB%E5%9E%8B%E4%BD%93%E6%93%8D%E4%BD%A0%E7%9C%9F%E7%9A%84%E4%BC%9A%E7%94%A8%E6%B3%9B%E5%9E%8B%E5%90%97/,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-10-12-typescript-%E9%AB%98%E7%BA%A7%E7%B1%BB%E5%9E%8B%E4%BD%93%E6%93%8D%E4%BD%A0%E7%9C%9F%E7%9A%84%E4%BC%9A%E7%94%A8%E6%B3%9B%E5%9E%8B%E5%90%97/,200,text/html; charset=utf-8,,22,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-10-20-linux-%E6%9C%8D%E5%8A%A1%E5%99%A8%E5%AE%89%E5%85%A8%E5%8A%A0%E5%9B%BA%E6%8C%87%E5%8D%9715-%E4%B8%AA%E5%BF%85%E5%81%9A%E9%85%8D%E7%BD%AE/,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-10-20-linux-%E6%9C%8D%E5%8A%A1%E5%99%A8%E5%AE%89%E5%85%A8%E5%8A%A0%E5%9B%BA%E6%8C%87%E5%8D%9715-%E4%B8%AA%E5%BF%85%E5%81%9A%E9%85%8D%E7%BD%AE/,200,text/html; charset=utf-8,,23,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-10-27-python-%E5%BC%82%E6%AD%A5%E7%BC%96%E7%A8%8B%E5%AE%8C%E5%85%A8%E6%8C%87%E5%8D%97async-await-%E6%B7%B1%E5%85%A5%E5%89%96%E6%9E%90/,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-10-27-python-%E5%BC%82%E6%AD%A5%E7%BC%96%E7%A8%8B%E5%AE%8C%E5%85%A8%E6%8C%87%E5%8D%97async-await-%E6%B7%B1%E5%85%A5%E5%89%96%E6%9E%90/,200,text/html; charset=utf-8,,19,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/posts/2025-11-02-%E6%9E%84%E5%BB%BA%E4%B8%80%E4%B8%AA%E5%AE%8C%E6%95%B4%E7%9A%84-react-%E7%8A%B6%E6%80%81%E7%AE%A1%E7%90%86%E6%96%B9%E6%A1%88%E4%BB%8E-context-%E5%88%B0-zustand/,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
